Group,Label,Description,Format,Hex,Instruction,Bytes,Cycles,Aliases
Shift,RCR,Rotate,"RCR mem16, 1",D1 /3,11010001 oo011rm,2+,3,RORC
Shift,RCR,Rotate,"RCR mem16, CL",D3 /3,11010011 oo011rm,2+,5,RORC
Shift,RCR,Rotate,"RCR mem16, imm8",C1 /3 ii,11000001 oo011mmm iiiiiiii,3+,5,RORC
Shift,RCR,Rotate,"RCR reg8, 1",D0 /3,11010000 11011rm,2,1,RORC
Shift,RCR,Rotate,"RCR reg8, CL",D2 /3,11010010 11011rm,2,3,RORC
Shift,RCR,Rotate,"RCR reg8, imm8",C0 /3 ii,11000000 11011mmm iiiiiiii,3,3,RORC
Shift,RCR,Rotate,"RCR reg16, 1",D1 /3,11010001 11011rm,2,1,RORC
Shift,RCR,Rotate,"RCR reg16, CL",D3 /3,11010011 11011rm,2,3,RORC
Shift,RCR,Rotate,"RCR reg16, imm8",C1 /3 ii,11000001 11011mmm iiiiiiii,3,3,RORC
String,REP,Repeat String Operation Prefix,REP,F3 /?,11110011,2+,2,REPE | REPZ
String,REPNE,Repeat String Operation Prefix,REPNE,F2 /?,11110010,2+,2,REPNZ
Jump,RET,Return From Procedure,RET,C3,11000011,1,6,-
Jump,RET,Return From Procedure,RET imm16,C2 ii ii,11000010 iiiiiiii iiiiiiii,1,6,-
Jump,RETF,,RETF,CB,11001011,1,8,RET
Jump,RETF,,RETF imm16,CA ii ii,11001010 iiiiiiii iiiiiiii,1,9,RET
Shift,ROL,Rotate,"ROL mem8, 1",D0 /0,11010000 oo000rm,2+,3,-
Shift,ROL,Rotate,"ROL mem8, CL",D2 /0,11010010 oo000rm,2+,5,-
Shift,ROL,Rotate,"ROL mem8, imm8",C0 /0 ii,11000000 oo000mmm iiiiiiii,3+,5,-
Shift,ROL,Rotate,"ROL mem16, 1",D1 /0,11010001 oo000rm,2+,3,-
Shift,ROL,Rotate,"ROL mem16, CL",D3 /0,11010011 oo000rm,2+,5,-
Shift,ROL,Rotate,"ROL mem16, imm8",C1 /0 ii,11000001 oo000mmm iiiiiiii,3+,5,-
Shift,ROL,Rotate,"ROL reg8, 1",D0 /0,11010000 11000rm,2,1,-
Shift,ROL,Rotate,"ROL reg8, CL",D2 /0,11010010 11000rm,2,3,-
Shift,ROL,Rotate,"ROL reg8, imm8",C0 /0 ii,11000000 11000mmm iiiiiiii,3,3,-
Shift,ROL,Rotate,"ROL reg16, 1",D1 /0,11010001 11000rm,2,1,-
Shift,ROL,Rotate,"ROL reg16, CL",D3 /0,11010011 11000rm,2,3,-
Shift,ROL,Rotate,"ROL reg16, imm8",C1 /0 ii,11000001 11000mmm iiiiiiii,3,3,-
Shift,ROR,Rotate,"ROR mem8, 1",D0 /1,11010000 oo001rm,2+,3,-
Shift,ROR,Rotate,"ROR mem8, CL",D2 /1,11010010 oo001rm,2+,5,-
Shift,ROR,Rotate,"ROR mem8, imm8",C0 /1 ii,11000000 oo001mmm iiiiiiii,3+,5,-
Shift,ROR,Rotate,"ROR mem16, 1",D1 /1,11010001 oo001rm,2+,3,-
Shift,ROR,Rotate,"ROR mem16, CL",D3 /1,11010011 oo001rm,2+,5,-
Shift,ROR,Rotate,"ROR mem16, imm8",C1 /1 ii,11000001 oo001mmm iiiiiiii,3+,5,-
Shift,ROR,Rotate,"ROR reg8, 1",D0 /1,11010000 11001rm,2,1,-
Shift,ROR,Rotate,"ROR reg8, CL",D2 /1,11010010 11001rm,2,3,-
